0,1,Fender Bender,0.968
1,1,Moderate,0.596
2,1,Severe,0.624
3,1,Fatal,0.932
4,2,Fender Bender,0.968
5,2,Moderate,0.612
6,2,Severe,0.62
7,2,Fatal,0.92
8,3,Fender Bender,0.968
9,3,Moderate,0.592
10,3,Severe,0.628
11,3,Fatal,0.92
12,4,Fender Bender,0.98
13,4,Moderate,0.6
14,4,Severe,0.648
15,4,Fatal,0.924
16,5,Fender Bender,0.968
17,5,Moderate,0.6
18,5,Severe,0.64
19,5,Fatal,0.932
20,6,Fender Bender,0.972
21,6,Moderate,0.628
22,6,Severe,0.636
23,6,Fatal,0.936
24,7,Fender Bender,0.972
25,7,Moderate,0.616
26,7,Severe,0.632
27,7,Fatal,0.924
28,8,Fender Bender,0.968
29,8,Moderate,0.616
30,8,Severe,0.62
31,8,Fatal,0.928
32,9,Fender Bender,0.964
33,9,Moderate,0.588
34,9,Severe,0.636
35,9,Fatal,0.928
36,10,Fender Bender,0.976
37,10,Moderate,0.612
38,10,Severe,0.62
39,10,Fatal,0.924
40,11,Fender Bender,0.972
41,11,Moderate,0.592
42,11,Severe,0.612
43,11,Fatal,0.94
44,12,Fender Bender,0.968
45,12,Moderate,0.624
46,12,Severe,0.616
47,12,Fatal,0.924
48,13,Fender Bender,0.968
49,13,Moderate,0.608
50,13,Severe,0.628
51,13,Fatal,0.924
52,14,Fender Bender,0.972
53,14,Moderate,0.62
54,14,Severe,0.652
55,14,Fatal,0.928
56,15,Fender Bender,0.98
57,15,Moderate,0.608
58,15,Severe,0.632
59,15,Fatal,0.924
60,16,Fender Bender,0.972
61,16,Moderate,0.62
62,16,Severe,0.636
63,16,Fatal,0.932
64,17,Fender Bender,0.964
65,17,Moderate,0.628
66,17,Severe,0.648
67,17,Fatal,0.932
68,18,Fender Bender,0.98
69,18,Moderate,0.608
70,18,Severe,0.632
71,18,Fatal,0.928
72,19,Fender Bender,0.98
73,19,Moderate,0.608
74,19,Severe,0.632
75,19,Fatal,0.924
76,20,Fender Bender,0.964
77,20,Moderate,0.604
78,20,Severe,0.64
79,20,Fatal,0.912
80,21,Fender Bender,0.98
81,21,Moderate,0.604
82,21,Severe,0.62
83,21,Fatal,0.932
84,22,Fender Bender,0.976
85,22,Moderate,0.62
86,22,Severe,0.636
87,22,Fatal,0.936
88,23,Fender Bender,0.972
89,23,Moderate,0.616
90,23,Severe,0.64
91,23,Fatal,0.924
92,24,Fender Bender,0.968
93,24,Moderate,0.588
94,24,Severe,0.62
95,24,Fatal,0.928
96,25,Fender Bender,0.976
97,25,Moderate,0.62
98,25,Severe,0.628
99,25,Fatal,0.94
100,26,Fender Bender,0.976
101,26,Moderate,0.628
102,26,Severe,0.636
103,26,Fatal,0.936
104,27,Fender Bender,0.976
105,27,Moderate,0.592
106,27,Severe,0.628
107,27,Fatal,0.932
108,28,Fender Bender,0.972
109,28,Moderate,0.608
110,28,Severe,0.632
111,28,Fatal,0.92
112,29,Fender Bender,0.968
113,29,Moderate,0.616
114,29,Severe,0.64
115,29,Fatal,0.924
116,30,Fender Bender,0.972
117,30,Moderate,0.592
118,30,Severe,0.648
119,30,Fatal,0.92
120,31,Fender Bender,0.976
121,31,Moderate,0.604
122,31,Severe,0.628
123,31,Fatal,0.924
124,32,Fender Bender,0.972
125,32,Moderate,0.612
126,32,Severe,0.632
127,32,Fatal,0.928
128,33,Fender Bender,0.976
129,33,Moderate,0.592
130,33,Severe,0.616
131,33,Fatal,0.932
132,34,Fender Bender,0.972
133,34,Moderate,0.624
134,34,Severe,0.616
135,34,Fatal,0.924
136,35,Fender Bender,0.972
137,35,Moderate,0.584
138,35,Severe,0.628
139,35,Fatal,0.924
140,36,Fender Bender,0.972
141,36,Moderate,0.612
142,36,Severe,0.632
143,36,Fatal,0.924
144,37,Fender Bender,0.968
145,37,Moderate,0.616
146,37,Severe,0.632
147,37,Fatal,0.924
148,38,Fender Bender,0.968
149,38,Moderate,0.616
150,38,Severe,0.64
151,38,Fatal,0.932
152,39,Fender Bender,0.972
153,39,Moderate,0.608
154,39,Severe,0.652
155,39,Fatal,0.92
156,40,Fender Bender,0.968
157,40,Moderate,0.596
158,40,Severe,0.608
159,40,Fatal,0.932
160,41,Fender Bender,0.972
161,41,Moderate,0.604
162,41,Severe,0.608
163,41,Fatal,0.932
164,42,Fender Bender,0.964
165,42,Moderate,0.612
166,42,Severe,0.624
167,42,Fatal,0.916
168,43,Fender Bender,0.976
169,43,Moderate,0.632
170,43,Severe,0.604
171,43,Fatal,0.932
172,44,Fender Bender,0.968
173,44,Moderate,0.596
174,44,Severe,0.628
175,44,Fatal,0.928
176,45,Fender Bender,0.968
177,45,Moderate,0.592
178,45,Severe,0.632
179,45,Fatal,0.92
180,46,Fender Bender,0.972
181,46,Moderate,0.608
182,46,Severe,0.64
183,46,Fatal,0.916
184,47,Fender Bender,0.976
185,47,Moderate,0.604
186,47,Severe,0.636
187,47,Fatal,0.932
188,48,Fender Bender,0.976
189,48,Moderate,0.612
190,48,Severe,0.612
191,48,Fatal,0.932
192,49,Fender Bender,0.968
193,49,Moderate,0.604
194,49,Severe,0.632
195,49,Fatal,0.936
196,50,Fender Bender,0.968
197,50,Moderate,0.608
198,50,Severe,0.608
199,50,Fatal,0.916
200,51,Fender Bender,0.976
201,51,Moderate,0.616
202,51,Severe,0.612
203,51,Fatal,0.92
204,52,Fender Bender,0.972
205,52,Moderate,0.608
206,52,Severe,0.62
207,52,Fatal,0.932
208,53,Fender Bender,0.964
209,53,Moderate,0.588
210,53,Severe,0.64
211,53,Fatal,0.924
212,54,Fender Bender,0.972
213,54,Moderate,0.612
214,54,Severe,0.636
215,54,Fatal,0.92
216,55,Fender Bender,0.968
217,55,Moderate,0.628
218,55,Severe,0.648
219,55,Fatal,0.924
220,56,Fender Bender,0.98
221,56,Moderate,0.62
222,56,Severe,0.64
223,56,Fatal,0.916
224,57,Fender Bender,0.976
225,57,Moderate,0.596
226,57,Severe,0.624
227,57,Fatal,0.924
228,58,Fender Bender,0.968
229,58,Moderate,0.608
230,58,Severe,0.628
231,58,Fatal,0.916
232,59,Fender Bender,0.972
233,59,Moderate,0.604
234,59,Severe,0.628
235,59,Fatal,0.928
236,60,Fender Bender,0.972
237,60,Moderate,0.632
238,60,Severe,0.596
239,60,Fatal,0.924
240,61,Fender Bender,0.968
241,61,Moderate,0.6
242,61,Severe,0.628
243,61,Fatal,0.936
244,62,Fender Bender,0.972
245,62,Moderate,0.6
246,62,Severe,0.62
247,62,Fatal,0.924
248,63,Fender Bender,0.968
249,63,Moderate,0.6
250,63,Severe,0.632
251,63,Fatal,0.92
252,64,Fender Bender,0.972
253,64,Moderate,0.604
254,64,Severe,0.628
255,64,Fatal,0.924
256,65,Fender Bender,0.972
257,65,Moderate,0.628
258,65,Severe,0.628
259,65,Fatal,0.932
260,66,Fender Bender,0.972
261,66,Moderate,0.616
262,66,Severe,0.624
263,66,Fatal,0.936
264,67,Fender Bender,0.968
265,67,Moderate,0.608
266,67,Severe,0.64
267,67,Fatal,0.924
268,68,Fender Bender,0.972
269,68,Moderate,0.6
270,68,Severe,0.64
271,68,Fatal,0.94
272,69,Fender Bender,0.972
273,69,Moderate,0.6
274,69,Severe,0.612
275,69,Fatal,0.928
276,70,Fender Bender,0.972
277,70,Moderate,0.616
278,70,Severe,0.596
279,70,Fatal,0.928
280,71,Fender Bender,0.968
281,71,Moderate,0.616
282,71,Severe,0.636
283,71,Fatal,0.94
284,72,Fender Bender,0.968
285,72,Moderate,0.592
286,72,Severe,0.64
287,72,Fatal,0.932
288,73,Fender Bender,0.964
289,73,Moderate,0.604
290,73,Severe,0.612
291,73,Fatal,0.928
292,74,Fender Bender,0.964
293,74,Moderate,0.612
294,74,Severe,0.616
295,74,Fatal,0.928
296,75,Fender Bender,0.972
297,75,Moderate,0.6
298,75,Severe,0.64
299,75,Fatal,0.924
300,76,Fender Bender,0.972
301,76,Moderate,0.596
302,76,Severe,0.636
303,76,Fatal,0.92
304,77,Fender Bender,0.968
305,77,Moderate,0.608
306,77,Severe,0.64
307,77,Fatal,0.928
308,78,Fender Bender,0.976
309,78,Moderate,0.604
310,78,Severe,0.636
311,78,Fatal,0.936
312,79,Fender Bender,0.972
313,79,Moderate,0.584
314,79,Severe,0.628
315,79,Fatal,0.936
316,80,Fender Bender,0.964
317,80,Moderate,0.604
318,80,Severe,0.616
319,80,Fatal,0.924
320,81,Fender Bender,0.968
321,81,Moderate,0.584
322,81,Severe,0.632
323,81,Fatal,0.92
324,82,Fender Bender,0.972
325,82,Moderate,0.62
326,82,Severe,0.608
327,82,Fatal,0.928
328,83,Fender Bender,0.968
329,83,Moderate,0.628
330,83,Severe,0.616
331,83,Fatal,0.928
332,84,Fender Bender,0.964
333,84,Moderate,0.608
334,84,Severe,0.62
335,84,Fatal,0.924
336,85,Fender Bender,0.968
337,85,Moderate,0.616
338,85,Severe,0.636
339,85,Fatal,0.932
340,86,Fender Bender,0.98
341,86,Moderate,0.608
342,86,Severe,0.616
343,86,Fatal,0.92
344,87,Fender Bender,0.972
345,87,Moderate,0.592
346,87,Severe,0.624
347,87,Fatal,0.92
348,88,Fender Bender,0.972
349,88,Moderate,0.624
350,88,Severe,0.64
351,88,Fatal,0.92
352,89,Fender Bender,0.972
353,89,Moderate,0.604
354,89,Severe,0.62
355,89,Fatal,0.92
356,90,Fender Bender,0.972
357,90,Moderate,0.612
358,90,Severe,0.624
359,90,Fatal,0.928
360,91,Fender Bender,0.968
361,91,Moderate,0.604
362,91,Severe,0.624
363,91,Fatal,0.928
364,92,Fender Bender,0.976
365,92,Moderate,0.608
366,92,Severe,0.612
367,92,Fatal,0.92
368,93,Fender Bender,0.98
369,93,Moderate,0.616
370,93,Severe,0.628
371,93,Fatal,0.92
372,94,Fender Bender,0.976
373,94,Moderate,0.604
374,94,Severe,0.624
375,94,Fatal,0.932
376,95,Fender Bender,0.972
377,95,Moderate,0.596
378,95,Severe,0.612
379,95,Fatal,0.932
380,96,Fender Bender,0.972
381,96,Moderate,0.62
382,96,Severe,0.632
383,96,Fatal,0.924
384,97,Fender Bender,0.968
385,97,Moderate,0.612
386,97,Severe,0.632
387,97,Fatal,0.924
388,98,Fender Bender,0.972
389,98,Moderate,0.604
390,98,Severe,0.644
391,98,Fatal,0.92
392,99,Fender Bender,0.968
393,99,Moderate,0.624
394,99,Severe,0.62
395,99,Fatal,0.928
396,100,Fender Bender,0.976
397,100,Moderate,0.632
398,100,Severe,0.652
399,100,Fatal,0.92
